turn_index,player_id,calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost,latency_ms,retry_calls
230,Grok 4.3,1.0,4010.0,589.0,498.0,4599.0,0.0052082,6908.0,0.0
231,Grok 4.3,1.0,4028.0,430.0,348.0,4458.0,0.0048332,4489.0,0.0
232,Gemini 3 Flash Preview,1.0,4656.0,1167.0,1014.0,5823.0,0.005829,6404.0,0.0
233,Grok 4.3,1.0,3958.0,497.0,411.0,4455.0,0.0049132,4722.0,0.0
234,Gemini 3 Flash Preview,1.0,4604.0,917.0,785.0,5521.0,0.005053,4337.0,0.0
235,Grok 4.3,1.0,3952.0,586.0,501.0,4538.0,0.0062706,4895.0,0.0
236,Grok 4.3,1.0,3959.0,459.0,374.0,4418.0,0.00481945,5940.0,0.0
237,Grok 4.3,1.0,3959.0,769.0,684.0,4728.0,0.00559445,7589.0,0.0
238,Gemini 3 Flash Preview,1.0,4601.0,1235.0,1007.0,5836.0,0.0060055,6852.0,0.0
239,Gemini 3 Flash Preview,1.0,4713.0,645.0,463.0,5358.0,0.0042915,3912.0,0.0
240,Grok 4.3,1.0,3992.0,447.0,367.0,4439.0,0.0048307,4337.0,0.0
241,Gemini 3 Flash Preview,1.0,4785.0,919.0,784.0,5704.0,0.0051495,5311.0,0.0
243,Grok 4.3,1.0,3993.0,560.0,478.0,4553.0,0.00511445,6106.0,0.0
244,Gemini 3 Flash Preview,1.0,3985.0,1221.0,1069.0,5206.0,0.0056555,7283.0,0.0
245,Grok 4.3,1.0,3996.0,543.0,457.0,4539.0,0.0050757,3531.0,0.0
246,Gemini 3 Flash Preview,1.0,3986.0,471.0,320.0,4457.0,0.003406,3287.0,0.0
247,Grok 4.3,1.0,4022.0,553.0,473.0,4575.0,0.0051332,5871.0,0.0
248,Gemini 3 Flash Preview,3.0,12841.0,2206.0,1674.0,15047.0,0.013038500000000001,12597.0,0.0
249,Grok 4.3,1.0,4047.0,749.0,589.0,4796.0,0.00679685,7578.0,0.0
250,Grok 4.3,1.0,4040.0,441.0,375.0,4481.0,0.0048757,4519.0,0.0
251,Gemini 3 Flash Preview,1.0,4896.0,739.0,597.0,5635.0,0.004665,4813.0,0.0
252,Grok 4.3,1.0,4029.0,469.0,404.0,4498.0,0.00493195,4718.0,0.0
253,Gemini 3 Flash Preview,1.0,4857.0,616.0,531.0,5473.0,0.0042765,4083.0,0.0
254,Grok 4.3,1.0,3993.0,436.0,362.0,4429.0,0.00594685,4194.0,0.0
255,Gemini 3 Flash Preview,1.0,4794.0,442.0,313.0,5236.0,0.003723,2985.0,0.0
256,Grok 4.3,2.0,7553.0,1459.0,1305.0,9012.0,0.01167755,15683.0,0.0
257,Gemini 3 Flash Preview,1.0,4704.0,534.0,418.0,5238.0,0.003954,3659.0,0.0
258,Grok 4.3,1.0,3930.0,505.0,435.0,4435.0,0.0048982,5633.0,0.0
259,Gemini 3 Flash Preview,1.0,4621.0,756.0,641.0,5377.0,0.0045785,4618.0,0.0
260,Grok 4.3,3.0,10551.0,2164.0,1883.0,12715.0,0.01738915,20137.0,0.0
261,Gemini 3 Flash Preview,2.0,9284.0,2306.0,2015.0,11590.0,0.01156,13045.0,0.0
262,Grok 4.3,3.0,10602.0,2299.0,2022.0,12901.0,0.017454400000000002,21693.0,0.0
263,Grok 4.3,2.0,7101.0,1101.0,937.0,8202.0,0.01055355,11643.0,0.0
264,Grok 4.3,2.0,7090.0,1410.0,1255.0,8500.0,0.0113123,14042.0,0.0
265,Gemini 3 Flash Preview,2.0,9363.0,3792.0,3414.0,13155.0,0.0160575,17968.0,0.0
266,Grok 4.3,1.0,3715.0,711.0,638.0,4426.0,0.00554765,5931.0,0.0
267,Gemini 3 Flash Preview,1.0,4667.0,730.0,585.0,5397.0,0.0045235,4495.0,0.0
268,Gemini 3 Flash Preview,1.0,4659.0,490.0,340.0,5149.0,0.0037995,3253.0,0.0
269,Grok 4.3,1.0,3815.0,509.0,438.0,4324.0,0.00503325,6353.0,0.0
270,Gemini 3 Flash Preview,1.0,4655.0,529.0,386.0,5184.0,0.0039145,3763.0,0.0
271,Gemini 3 Flash Preview,1.0,4699.0,336.0,200.0,5035.0,0.0033575,2657.0,0.0
272,Grok 4.3,1.0,3394.0,456.0,388.0,3850.0,0.0048449,4134.0,0.0
